system,suite,path,function,result,rc,kind,log
benchmark,BasicMathFunctions,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_abs_f32.c,abs_riscv_abs_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/BasicMathFunctions__abs_riscv_abs_f32.log
benchmark,BasicMathFunctions,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_add_f32.c,add_riscv_add_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/BasicMathFunctions__add_riscv_add_f32.log
benchmark,BasicMathFunctions,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_clip_f32.c,clip_riscv_clip_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/BasicMathFunctions__clip_riscv_clip_f32.log
benchmark,BasicMathFunctions,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_dot_prod_f32.c,dot_prod_riscv_dot_prod_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/BasicMathFunctions__dot_prod_riscv_dot_prod_f32.log
benchmark,BasicMathFunctions,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_mult_f32.c,mul_riscv_mul_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/BasicMathFunctions__mul_riscv_mul_f32.log
benchmark,BasicMathFunctions,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_negate_f32.c,negate_riscv_negate_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/BasicMathFunctions__negate_riscv_negate_f32.log
benchmark,BasicMathFunctions,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_offset_f32.c,offset_riscv_offset_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/BasicMathFunctions__offset_riscv_offset_f32.log
benchmark,BasicMathFunctions,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_scale_f32.c,scale_riscv_scale_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/BasicMathFunctions__scale_riscv_scale_f32.log
benchmark,BasicMathFunctions,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_sub_f32.c,sub_riscv_sub_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/BasicMathFunctions__sub_riscv_sub_f32.log
benchmark,BayesFunctions,vendor/NMSIS/DSP/Benchmark/BayesFunctions/test_riscv_gaussian_naive_bayes_predict_f32.c,bayes_riscv_gaussian_naive_bayes_predict_f32,FAIL,2,link_undefined,/tmp/nmsis-f32-candidate-logs/BayesFunctions__bayes_riscv_gaussian_naive_bayes_predict_f32.log
benchmark,ComplexMathFunctions,vendor/NMSIS/DSP/Benchmark/ComplexMathFunctions/test_riscv_cmplx_conj_f32.c,cmplx_conj_riscv_cmplx_conj_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/ComplexMathFunctions__cmplx_conj_riscv_cmplx_conj_f32.log
benchmark,ComplexMathFunctions,vendor/NMSIS/DSP/Benchmark/ComplexMathFunctions/test_riscv_cmplx_dot_prod_f32.c,cmplx_dot_prod_riscv_cmplx_dot_prod_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/ComplexMathFunctions__cmplx_dot_prod_riscv_cmplx_dot_prod_f32.log
benchmark,ComplexMathFunctions,vendor/NMSIS/DSP/Benchmark/ComplexMathFunctions/test_riscv_cmplx_mag_f32.c,cmplx_mag_riscv_cmplx_mag_f32,FAIL,2,link_undefined,/tmp/nmsis-f32-candidate-logs/ComplexMathFunctions__cmplx_mag_riscv_cmplx_mag_f32.log
benchmark,ComplexMathFunctions,vendor/NMSIS/DSP/Benchmark/ComplexMathFunctions/test_riscv_cmplx_mag_squared_f32.c,cmplx_mag_squared_riscv_cmplx_mag_squared_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/ComplexMathFunctions__cmplx_mag_squared_riscv_cmplx_mag_squared_f32.log
benchmark,ComplexMathFunctions,vendor/NMSIS/DSP/Benchmark/ComplexMathFunctions/test_riscv_cmplx_mult_cmplx_f32.c,cmplx_mult_cmplx_riscv_cmplx_mult_cmplx_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/ComplexMathFunctions__cmplx_mult_cmplx_riscv_cmplx_mult_cmplx_f32.log
benchmark,ComplexMathFunctions,vendor/NMSIS/DSP/Benchmark/ComplexMathFunctions/test_riscv_cmplx_mult_real_f32.c,cmplx_mult_real_riscv_cmplx_mult_real_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/ComplexMathFunctions__cmplx_mult_real_riscv_cmplx_mult_real_f32.log
benchmark,ControllerFunctions,vendor/NMSIS/DSP/Benchmark/ControllerFunctions/test_riscv_clarke_f32.c,clarke_riscv_clarke_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/ControllerFunctions__clarke_riscv_clarke_f32.log
benchmark,ControllerFunctions,vendor/NMSIS/DSP/Benchmark/ControllerFunctions/test_riscv_inv_clarke_f32.c,inv_clarke_riscv_inv_clarke_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/ControllerFunctions__inv_clarke_riscv_inv_clarke_f32.log
benchmark,ControllerFunctions,vendor/NMSIS/DSP/Benchmark/ControllerFunctions/test_riscv_inv_park_f32.c,inv_park_riscv_inv_park_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/ControllerFunctions__inv_park_riscv_inv_park_f32.log
benchmark,ControllerFunctions,vendor/NMSIS/DSP/Benchmark/ControllerFunctions/test_riscv_park_f32.c,park_riscv_park_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/ControllerFunctions__park_riscv_park_f32.log
benchmark,ControllerFunctions,vendor/NMSIS/DSP/Benchmark/ControllerFunctions/test_riscv_pid_f32.c,pid_riscv_pid_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/ControllerFunctions__pid_riscv_pid_f32.log
benchmark,ControllerFunctions,vendor/NMSIS/DSP/Benchmark/ControllerFunctions/test_riscv_sin_cos_f32.c,sin_cos_riscv_sin_cos_f32,FAIL,2,difftest_mismatch,/tmp/nmsis-f32-candidate-logs/ControllerFunctions__sin_cos_riscv_sin_cos_f32.log
benchmark,DistanceFunctions,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_braycurtis_distance_f32.c,braycurtis_distance_riscv_braycurtis_distance_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/DistanceFunctions__braycurtis_distance_riscv_braycurtis_distance_f32.log
benchmark,DistanceFunctions,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_canberra_distance_f32.c,canberra_distance_riscv_canberra_distance_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/DistanceFunctions__canberra_distance_riscv_canberra_distance_f32.log
benchmark,DistanceFunctions,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_chebyshev_distance_f32.c,chebyshev_distance_riscv_chebyshev_distance_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/DistanceFunctions__chebyshev_distance_riscv_chebyshev_distance_f32.log
benchmark,DistanceFunctions,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_cityblock_distance_f32.c,cityblock_distance_riscv_cityblock_distance_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/DistanceFunctions__cityblock_distance_riscv_cityblock_distance_f32.log
benchmark,DistanceFunctions,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_correlation_distance_f32.c,correlation_distance_riscv_correlation_distance_f32,FAIL,2,link_undefined,/tmp/nmsis-f32-candidate-logs/DistanceFunctions__correlation_distance_riscv_correlation_distance_f32.log
benchmark,DistanceFunctions,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_cosine_distance_f32.c,cosine_distance_riscv_cosine_distance_f32,FAIL,2,link_undefined,/tmp/nmsis-f32-candidate-logs/DistanceFunctions__cosine_distance_riscv_cosine_distance_f32.log
benchmark,DistanceFunctions,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_euclidean_distance_f32.c,euclidean_distance_riscv_euclidean_distance_f32,FAIL,2,link_undefined,/tmp/nmsis-f32-candidate-logs/DistanceFunctions__euclidean_distance_riscv_euclidean_distance_f32.log
benchmark,DistanceFunctions,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_jensenshannon_distance_f32.c,jensenshannon_distance_riscv_jensenshannon_distance_f32,FAIL,2,link_undefined,/tmp/nmsis-f32-candidate-logs/DistanceFunctions__jensenshannon_distance_riscv_jensenshannon_distance_f32.log
benchmark,DistanceFunctions,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_minkowski_distance_f32.c,minkowski_distance_riscv_minkowski_distance_f32,FAIL,2,link_undefined,/tmp/nmsis-f32-candidate-logs/DistanceFunctions__minkowski_distance_riscv_minkowski_distance_f32.log
benchmark,FastMathFunctions,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_atan2_f32.c,atan2_riscv_atan2_f32,FAIL,2,link_undefined,/tmp/nmsis-f32-candidate-logs/FastMathFunctions__atan2_riscv_atan2_f32.log
benchmark,FastMathFunctions,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_cos_f32.c,cos_riscv_cos_f32,FAIL,2,difftest_mismatch,/tmp/nmsis-f32-candidate-logs/FastMathFunctions__cos_riscv_cos_f32.log
benchmark,FastMathFunctions,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_sin_f32.c,sin_riscv_sin_f32,FAIL,2,difftest_mismatch,/tmp/nmsis-f32-candidate-logs/FastMathFunctions__sin_riscv_sin_f32.log
benchmark,FastMathFunctions,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_sqrt_f32.c,sqrt_riscv_sqrt_f32,FAIL,2,link_undefined,/tmp/nmsis-f32-candidate-logs/FastMathFunctions__sqrt_riscv_sqrt_f32.log
benchmark,FastMathFunctions,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_vexp_f32.c,vexp_riscv_vexp_f32,FAIL,2,link_undefined,/tmp/nmsis-f32-candidate-logs/FastMathFunctions__vexp_riscv_vexp_f32.log
benchmark,FastMathFunctions,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_vlog_f32.c,vlog_riscv_vlog_f32,FAIL,2,link_undefined,/tmp/nmsis-f32-candidate-logs/FastMathFunctions__vlog_riscv_vlog_f32.log
benchmark,FilteringFunctions,vendor/NMSIS/DSP/Benchmark/FilteringFunctions/test_riscv_biquad_cascade_df1_f32.c,df1_riscv_biquad_cascade_df1_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/FilteringFunctions__df1_riscv_biquad_cascade_df1_f32.log
benchmark,FilteringFunctions,vendor/NMSIS/DSP/Benchmark/FilteringFunctions/test_riscv_biquad_cascade_df2T_f32.c,df2T_riscv_biquad_cascade_df2T_f32,PASS,0,,/tmp/nmsis-f32-candidate-logs/FilteringFunctions__df2T_riscv_biquad_cascade_df2T_f32.log
