suite,function,path,status,sim_result,host_result,sim_log,host_log,note
BayesFunctions,bayes_riscv_gaussian_naive_bayes_predict_f32,vendor/NMSIS/DSP/Benchmark/BayesFunctions/test_riscv_gaussian_naive_bayes_predict_f32.c,FAILED,,@@RESULT@@ case=bayes_riscv_gaussian_naive_bayes_predict_f32 hash=0xf040b809,/tmp/nmsis-f32-failed-result-compare/sim/BayesFunctions__bayes_riscv_gaussian_naive_bayes_predict_f32.log,/tmp/nmsis-f32-failed-result-compare/host/BayesFunctions__bayes_riscv_gaussian_naive_bayes_predict_f32.run.log,sim_run_failed
ComplexMathFunctions,cmplx_mag_riscv_cmplx_mag_f32,vendor/NMSIS/DSP/Benchmark/ComplexMathFunctions/test_riscv_cmplx_mag_f32.c,FAILED,,@@RESULT@@ case=cmplx_mag_riscv_cmplx_mag_f32 hash=0xc378f98d,/tmp/nmsis-f32-failed-result-compare/sim/ComplexMathFunctions__cmplx_mag_riscv_cmplx_mag_f32.log,/tmp/nmsis-f32-failed-result-compare/host/ComplexMathFunctions__cmplx_mag_riscv_cmplx_mag_f32.run.log,sim_run_failed
ControllerFunctions,sin_cos_riscv_sin_cos_f32,vendor/NMSIS/DSP/Benchmark/ControllerFunctions/test_riscv_sin_cos_f32.c,MATCH,@@RESULT@@ case=sin_cos_riscv_sin_cos_f32 hash=0x4cff52f2,@@RESULT@@ case=sin_cos_riscv_sin_cos_f32 hash=0x4cff52f2,/tmp/nmsis-f32-failed-result-compare/sim/ControllerFunctions__sin_cos_riscv_sin_cos_f32.log,/tmp/nmsis-f32-failed-result-compare/host/ControllerFunctions__sin_cos_riscv_sin_cos_f32.run.log,
DistanceFunctions,correlation_distance_riscv_correlation_distance_f32,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_correlation_distance_f32.c,FAILED,,@@RESULT@@ case=correlation_distance_riscv_correlation_distance_f32 hash=0x07dbf889,/tmp/nmsis-f32-failed-result-compare/sim/DistanceFunctions__correlation_distance_riscv_correlation_distance_f32.log,/tmp/nmsis-f32-failed-result-compare/host/DistanceFunctions__correlation_distance_riscv_correlation_distance_f32.run.log,sim_run_failed
DistanceFunctions,cosine_distance_riscv_cosine_distance_f32,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_cosine_distance_f32.c,FAILED,,@@RESULT@@ case=cosine_distance_riscv_cosine_distance_f32 hash=0x57354741,/tmp/nmsis-f32-failed-result-compare/sim/DistanceFunctions__cosine_distance_riscv_cosine_distance_f32.log,/tmp/nmsis-f32-failed-result-compare/host/DistanceFunctions__cosine_distance_riscv_cosine_distance_f32.run.log,sim_run_failed
DistanceFunctions,euclidean_distance_riscv_euclidean_distance_f32,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_euclidean_distance_f32.c,FAILED,,@@RESULT@@ case=euclidean_distance_riscv_euclidean_distance_f32 hash=0x57354741,/tmp/nmsis-f32-failed-result-compare/sim/DistanceFunctions__euclidean_distance_riscv_euclidean_distance_f32.log,/tmp/nmsis-f32-failed-result-compare/host/DistanceFunctions__euclidean_distance_riscv_euclidean_distance_f32.run.log,sim_run_failed
DistanceFunctions,jensenshannon_distance_riscv_jensenshannon_distance_f32,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_jensenshannon_distance_f32.c,FAILED,,@@RESULT@@ case=jensenshannon_distance_riscv_jensenshannon_distance_f32 hash=0x6ae718b5,/tmp/nmsis-f32-failed-result-compare/sim/DistanceFunctions__jensenshannon_distance_riscv_jensenshannon_distance_f32.log,/tmp/nmsis-f32-failed-result-compare/host/DistanceFunctions__jensenshannon_distance_riscv_jensenshannon_distance_f32.run.log,sim_run_failed
DistanceFunctions,minkowski_distance_riscv_minkowski_distance_f32,vendor/NMSIS/DSP/Benchmark/DistanceFunctions/test_riscv_minkowski_distance_f32.c,FAILED,,@@RESULT@@ case=minkowski_distance_riscv_minkowski_distance_f32 hash=0x6ae718b5,/tmp/nmsis-f32-failed-result-compare/sim/DistanceFunctions__minkowski_distance_riscv_minkowski_distance_f32.log,/tmp/nmsis-f32-failed-result-compare/host/DistanceFunctions__minkowski_distance_riscv_minkowski_distance_f32.run.log,sim_run_failed
FastMathFunctions,atan2_riscv_atan2_f32,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_atan2_f32.c,FAILED,,@@RESULT@@ case=atan2_riscv_atan2_f32 hash=0x29b28c26,/tmp/nmsis-f32-failed-result-compare/sim/FastMathFunctions__atan2_riscv_atan2_f32.log,/tmp/nmsis-f32-failed-result-compare/host/FastMathFunctions__atan2_riscv_atan2_f32.run.log,sim_run_failed
FastMathFunctions,cos_riscv_cos_f32,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_cos_f32.c,MATCH,@@RESULT@@ case=cos_riscv_cos_f32 hash=0xc76e278d,@@RESULT@@ case=cos_riscv_cos_f32 hash=0xc76e278d,/tmp/nmsis-f32-failed-result-compare/sim/FastMathFunctions__cos_riscv_cos_f32.log,/tmp/nmsis-f32-failed-result-compare/host/FastMathFunctions__cos_riscv_cos_f32.run.log,
FastMathFunctions,sin_riscv_sin_f32,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_sin_f32.c,MATCH,@@RESULT@@ case=sin_riscv_sin_f32 hash=0xa764c6df,@@RESULT@@ case=sin_riscv_sin_f32 hash=0xa764c6df,/tmp/nmsis-f32-failed-result-compare/sim/FastMathFunctions__sin_riscv_sin_f32.log,/tmp/nmsis-f32-failed-result-compare/host/FastMathFunctions__sin_riscv_sin_f32.run.log,
FastMathFunctions,sqrt_riscv_sqrt_f32,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_sqrt_f32.c,FAILED,,@@RESULT@@ case=sqrt_riscv_sqrt_f32 hash=0x994bebc3,/tmp/nmsis-f32-failed-result-compare/sim/FastMathFunctions__sqrt_riscv_sqrt_f32.log,/tmp/nmsis-f32-failed-result-compare/host/FastMathFunctions__sqrt_riscv_sqrt_f32.run.log,sim_run_failed
FastMathFunctions,vexp_riscv_vexp_f32,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_vexp_f32.c,FAILED,,@@RESULT@@ case=vexp_riscv_vexp_f32 hash=0x37e24f1a,/tmp/nmsis-f32-failed-result-compare/sim/FastMathFunctions__vexp_riscv_vexp_f32.log,/tmp/nmsis-f32-failed-result-compare/host/FastMathFunctions__vexp_riscv_vexp_f32.run.log,sim_run_failed
FastMathFunctions,vlog_riscv_vlog_f32,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_vlog_f32.c,FAILED,,@@RESULT@@ case=vlog_riscv_vlog_f32 hash=0x4d97903e,/tmp/nmsis-f32-failed-result-compare/sim/FastMathFunctions__vlog_riscv_vlog_f32.log,/tmp/nmsis-f32-failed-result-compare/host/FastMathFunctions__vlog_riscv_vlog_f32.run.log,sim_run_failed
