suite,function,path,status,sim_result,host_result,sim_log,host_log,note
BasicMathFunctions,abs_riscv_abs_f32,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_abs_f32.c,MATCH,@@RESULT@@ case=abs_riscv_abs_f32 hash=0x1f9d52cd,@@RESULT@@ case=abs_riscv_abs_f32 hash=0x1f9d52cd,/tmp/nmsis-f32-result-compare/sim/BasicMathFunctions__abs_riscv_abs_f32.log,/tmp/nmsis-f32-result-compare/host/BasicMathFunctions__abs_riscv_abs_f32.run.log,
BasicMathFunctions,add_riscv_add_f32,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_add_f32.c,MATCH,@@RESULT@@ case=add_riscv_add_f32 hash=0x95de00e0,@@RESULT@@ case=add_riscv_add_f32 hash=0x95de00e0,/tmp/nmsis-f32-result-compare/sim/BasicMathFunctions__add_riscv_add_f32.log,/tmp/nmsis-f32-result-compare/host/BasicMathFunctions__add_riscv_add_f32.run.log,
BasicMathFunctions,clip_riscv_clip_f32,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_clip_f32.c,MATCH,@@RESULT@@ case=clip_riscv_clip_f32 hash=0x7acbaf92,@@RESULT@@ case=clip_riscv_clip_f32 hash=0x7acbaf92,/tmp/nmsis-f32-result-compare/sim/BasicMathFunctions__clip_riscv_clip_f32.log,/tmp/nmsis-f32-result-compare/host/BasicMathFunctions__clip_riscv_clip_f32.run.log,
BasicMathFunctions,dot_prod_riscv_dot_prod_f32,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_dot_prod_f32.c,MATCH,@@RESULT@@ case=dot_prod_riscv_dot_prod_f32 hash=0x3995fc82,@@RESULT@@ case=dot_prod_riscv_dot_prod_f32 hash=0x3995fc82,/tmp/nmsis-f32-result-compare/sim/BasicMathFunctions__dot_prod_riscv_dot_prod_f32.log,/tmp/nmsis-f32-result-compare/host/BasicMathFunctions__dot_prod_riscv_dot_prod_f32.run.log,
BasicMathFunctions,mul_riscv_mul_f32,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_mult_f32.c,MATCH,@@RESULT@@ case=mul_riscv_mul_f32 hash=0x694d592a,@@RESULT@@ case=mul_riscv_mul_f32 hash=0x694d592a,/tmp/nmsis-f32-result-compare/sim/BasicMathFunctions__mul_riscv_mul_f32.log,/tmp/nmsis-f32-result-compare/host/BasicMathFunctions__mul_riscv_mul_f32.run.log,
BasicMathFunctions,negate_riscv_negate_f32,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_negate_f32.c,MATCH,@@RESULT@@ case=negate_riscv_negate_f32 hash=0xe3e8d1cd,@@RESULT@@ case=negate_riscv_negate_f32 hash=0xe3e8d1cd,/tmp/nmsis-f32-result-compare/sim/BasicMathFunctions__negate_riscv_negate_f32.log,/tmp/nmsis-f32-result-compare/host/BasicMathFunctions__negate_riscv_negate_f32.run.log,
BasicMathFunctions,offset_riscv_offset_f32,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_offset_f32.c,MATCH,@@RESULT@@ case=offset_riscv_offset_f32 hash=0x5ddf685a,@@RESULT@@ case=offset_riscv_offset_f32 hash=0x5ddf685a,/tmp/nmsis-f32-result-compare/sim/BasicMathFunctions__offset_riscv_offset_f32.log,/tmp/nmsis-f32-result-compare/host/BasicMathFunctions__offset_riscv_offset_f32.run.log,
BasicMathFunctions,scale_riscv_scale_f32,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_scale_f32.c,MATCH,@@RESULT@@ case=scale_riscv_scale_f32 hash=0xe88669a3,@@RESULT@@ case=scale_riscv_scale_f32 hash=0xe88669a3,/tmp/nmsis-f32-result-compare/sim/BasicMathFunctions__scale_riscv_scale_f32.log,/tmp/nmsis-f32-result-compare/host/BasicMathFunctions__scale_riscv_scale_f32.run.log,
BasicMathFunctions,sub_riscv_sub_f32,vendor/NMSIS/DSP/Benchmark/BasicMathFunctions/test_riscv_sub_f32.c,MATCH,@@RESULT@@ case=sub_riscv_sub_f32 hash=0xbb6c61cd,@@RESULT@@ case=sub_riscv_sub_f32 hash=0xbb6c61cd,/tmp/nmsis-f32-result-compare/sim/BasicMathFunctions__sub_riscv_sub_f32.log,/tmp/nmsis-f32-result-compare/host/BasicMathFunctions__sub_riscv_sub_f32.run.log,
ComplexMathFunctions,cmplx_conj_riscv_cmplx_conj_f32,vendor/NMSIS/DSP/Benchmark/ComplexMathFunctions/test_riscv_cmplx_conj_f32.c,MATCH,@@RESULT@@ case=cmplx_conj_riscv_cmplx_conj_f32 hash=0x5e5e6bcd,@@RESULT@@ case=cmplx_conj_riscv_cmplx_conj_f32 hash=0x5e5e6bcd,/tmp/nmsis-f32-result-compare/sim/ComplexMathFunctions__cmplx_conj_riscv_cmplx_conj_f32.log,/tmp/nmsis-f32-result-compare/host/ComplexMathFunctions__cmplx_conj_riscv_cmplx_conj_f32.run.log,
ComplexMathFunctions,cmplx_dot_prod_riscv_cmplx_dot_prod_f32,vendor/NMSIS/DSP/Benchmark/ComplexMathFunctions/test_riscv_cmplx_dot_prod_f32.c,MATCH,@@RESULT@@ case=cmplx_dot_prod_riscv_cmplx_dot_prod_f32 hash=0x79385e29,@@RESULT@@ case=cmplx_dot_prod_riscv_cmplx_dot_prod_f32 hash=0x79385e29,/tmp/nmsis-f32-result-compare/sim/ComplexMathFunctions__cmplx_dot_prod_riscv_cmplx_dot_prod_f32.log,/tmp/nmsis-f32-result-compare/host/ComplexMathFunctions__cmplx_dot_prod_riscv_cmplx_dot_prod_f32.run.log,
ComplexMathFunctions,cmplx_mag_squared_riscv_cmplx_mag_squared_f32,vendor/NMSIS/DSP/Benchmark/ComplexMathFunctions/test_riscv_cmplx_mag_squared_f32.c,MATCH,@@RESULT@@ case=cmplx_mag_squared_riscv_cmplx_mag_squared_f32 hash=0xd8744607,@@RESULT@@ case=cmplx_mag_squared_riscv_cmplx_mag_squared_f32 hash=0xd8744607,/tmp/nmsis-f32-result-compare/sim/ComplexMathFunctions__cmplx_mag_squared_riscv_cmplx_mag_squared_f32.log,/tmp/nmsis-f32-result-compare/host/ComplexMathFunctions__cmplx_mag_squared_riscv_cmplx_mag_squared_f32.run.log,
