suite,case,target_result,host_result,failed_subtests,classification,root_cause
BasicMathFunctions,riscv_basic_math_functions,PASS_AFTER_FIX,PASS,,simulator_memory_model,"unaligned SW at q7_out_array corrupted preceding q7_b bytes in DUT AXIMemory; byte-wise cross-word load/store fix makes full difftest pass"
DistanceFunctions,riscv_distance,APP_FAILED,PASS,riscv_minkowski_distance_f32,isa_configuration,"generate_rand_f32 emits unsupported RV32D and produces degenerate input"
FilteringFunction,LMSPart__riscv_fir,APP_FAILED,APP_FAILED,"lms_f32;lms_q31;lms_q15",isa_configuration+upstream_q15,"target SNR helper emits unsupported RV32D; q15 also fails host at -8.623777 dB"
FilteringFunction,NLMSPart__riscv_fir,APP_FAILED,APP_FAILED,"lms_norm_f32;lms_norm_q31;lms_norm_q15",isa_configuration+upstream_q15,"target SNR helper emits unsupported RV32D; q15 also fails host at -12.107554 dB"
FilteringFunction,firDecimatorPart__riscv_fir,APP_FAILED,PASS,"fir_decimate_f32;fir_decimate_q31;fir_decimate_q15;fir_decimate_fast_q31;fir_decimate_fast_q15",isa_configuration,"SNR helper uses double log10 on a core without RV32D"
FilteringFunction,firInterpolatePart__riscv_fir,APP_FAILED,PASS,"fir_interpolate_f32;fir_interpolate_q31;fir_interpolate_q15",isa_configuration,"SNR helper uses double log10 on a core without RV32D"
FilteringFunction,firLatticePart__riscv_fir,APP_FAILED,PASS,"fir_lattice_f32;fir_lattice_q31;fir_lattice_q15",isa_configuration,"SNR helper uses double log10 on a core without RV32D"
FilteringFunction,firSparsePart__riscv_fir,APP_FAILED,PASS,"fir_sparse_f32;fir_sparse_q31;fir_sparse_q15;fir_sparse_q7",isa_configuration,"SNR helper uses double log10 on a core without RV32D"
FilteringFunction,iirLatticePart__riscv_fir,APP_FAILED,PASS,"iir_lattice_f32;iir_lattice_q31;iir_lattice_q15",isa_configuration,"SNR helper uses double log10 on a core without RV32D"
FilteringFunction,iirdf1__riscv_fir,APP_FAILED,PASS,"biquad_df1_f32;biquad_df1_q31;biquad_df1_q15;fast_q31;fast_q15;32x64_q31",isa_configuration,"SNR helper uses unsupported RV32D; intermediate FCVT difftest was a fixed reference-simulator false positive"
FilteringFunction,iirdf2t__riscv_fir,APP_FAILED,PASS,"biquad_df2T_f32;stereo_df2T_f32",isa_configuration,"SNR helper uses double log10 on a core without RV32D"
QuaternionMathFunctions,riscv_quaternion,APP_FAILED,PASS,riscv_rotation2quaternion_f32,isa_configuration,"generate_rand_f32 emits unsupported RV32D and supplies a degenerate zero matrix"
StatisticsFunctions,riscv_statistics,APP_FAILED,PASS,"var_q31;std_q15;var_q15;entropy_f64;kullback_leibler_f64",target_runtime+isa_configuration,"little-endian high/low reversal breaks __divdi3; f64 uses unsupported RV32D"
TransformFunction,cfft__riscv_tranform,APP_FAILED,PASS,"cfft_f32;cfft_q31;cfft_q15;radix2_f32;radix2_q31;radix2_q15;radix4_f32;radix4_q31;radix4_q15",isa_configuration,"all checks use an SNR helper with double log10 on a core without RV32D"
